id,เพศ,ช่วงอายุ/ช่วงวัย,เทศกาล/โอกาสสำคัญ,ความสัมพันธ์,ราคา,คลาสของขวัญ
1,0,7,13,38,1-100,แม่และเด็ก
2,0,7,13,38.02,1-100,แม่และเด็ก
3,0,7,13,34.32,1-100,แม่และเด็ก
4,0,7,13,38.03,1-100,แม่และเด็ก
5,0,7,24,38,101-500,แม่และเด็ก
6,0,7,24,38.02,101-500,แม่และเด็ก
7,0,7,24,34.32,101-500,แม่และเด็ก
8,0,7,24,38.03,101-500,แม่และเด็ก
9,0,7,25,38,501-1000,แม่และเด็ก
10,0,7,25,38.02,501-1000,แม่และเด็ก
11,0,7,25,34.32,501-1000,แม่และเด็ก
12,0,7,25,38.03,501-1000,แม่และเด็ก
13,1,7,13,38,1-100,แม่และเด็ก
14,1,7,13,38.02,1-100,แม่และเด็ก
15,1,7,13,34.32,1-100,แม่และเด็ก
16,1,7,13,38.03,1-100,แม่และเด็ก
17,1,7,24,38,101-500,แม่และเด็ก
18,1,7,24,38.02,101-500,แม่และเด็ก
19,1,7,24,34.32,101-500,แม่และเด็ก
20,1,7,24,38.03,101-500,แม่และเด็ก
21,1,7,25,38,500-1000,แม่และเด็ก
22,1,7,25,38.02,500-1000,แม่และเด็ก
23,1,7,25,34.32,500-1000,แม่และเด็ก
24,1,7,25,38.03,500-1000,แม่และเด็ก
25,0,12,13,34.05,1-100,อาหารเสริมเพื่อสุขภาพ
26,0,12,13,34.06,1-100,อาหารเสริมเพื่อสุขภาพ
27,0,12,13,34.07,1-100,อาหารเสริมเพื่อสุขภาพ
28,0,12,13,34.04,1-100,อาหารเสริมเพื่อสุขภาพ
29,0,12,24,34.05,101-500,อาหารเสริมเพื่อสุขภาพ
30,0,12,24,34.06,101-500,อาหารเสริมเพื่อสุขภาพ
31,0,12,24,34.07,101-500,อาหารเสริมเพื่อสุขภาพ
32,0,12,24,34.04,101-500,อาหารเสริมเพื่อสุขภาพ
33,0,12,22,34.05,501-1000,อาหารเสริมเพื่อสุขภาพ
34,0,12,22,34.06,501-1000,อาหารเสริมเพื่อสุขภาพ
35,0,12,22,34.07,501-1000,อาหารเสริมเพื่อสุขภาพ
36,0,12,22,34.04,501-1000,อาหารเสริมเพื่อสุขภาพ
37,1,12,13,34.19,1-100,อาหารเสริมเพื่อสุขภาพ
38,1,12,13,34.2,1-100,อาหารเสริมเพื่อสุขภาพ
39,1,12,13,34.21,1-100,อาหารเสริมเพื่อสุขภาพ
40,1,12,13,34.18,1-100,อาหารเสริมเพื่อสุขภาพ
41,1,12,24,34.19,101-500,อาหารเสริมเพื่อสุขภาพ
42,1,12,24,34.2,101-500,อาหารเสริมเพื่อสุขภาพ
43,1,12,24,34.21,101-500,อาหารเสริมเพื่อสุขภาพ
44,1,12,24,34.18,101-500,อาหารเสริมเพื่อสุขภาพ
45,1,12,22,34.19,501-1000,อาหารเสริมเพื่อสุขภาพ
46,1,12,22,34.2,501-1000,อาหารเสริมเพื่อสุขภาพ
47,1,12,22,34.21,501-1000,อาหารเสริมเพื่อสุขภาพ
48,1,12,22,34.18,501-1000,อาหารเสริมเพื่อสุขภาพ
49,2,12,13,34.05,1-100,อาหารเสริมเพื่อสุขภาพ
50,2,12,13,34.06,1-100,อาหารเสริมเพื่อสุขภาพ
51,2,12,13,34.07,1-100,อาหารเสริมเพื่อสุขภาพ
52,2,12,13,34.04,1-100,อาหารเสริมเพื่อสุขภาพ
53,2,12,24,34.05,101-500,อาหารเสริมเพื่อสุขภาพ
54,2,12,24,34.06,101-500,อาหารเสริมเพื่อสุขภาพ
55,2,12,24,34.07,101-500,อาหารเสริมเพื่อสุขภาพ
56,2,12,24,34.04,101-500,อาหารเสริมเพื่อสุขภาพ
57,2,12,22,34.05,501-1000,อาหารเสริมเพื่อสุขภาพ
58,2,12,22,34.06,501-1000,อาหารเสริมเพื่อสุขภาพ
59,2,12,22,34.07,501-1000,อาหารเสริมเพื่อสุขภาพ
60,2,12,22,34.04,501-1000,อาหารเสริมเพื่อสุขภาพ
61,0,9,13,39,1-100,เสื้อผ้าแฟชั่น
62,0,9,13,35.04,1-100,เสื้อผ้าแฟชั่น
63,0,9,13,38.01,1-100,เสื้อผ้าแฟชั่น
64,0,9,13,34.03,1-100,เสื้อผ้าแฟชั่น
65,0,9,13,34.33,101-500,เสื้อผ้าแฟชั่น
66,0,9,13,26,101-500,เสื้อผ้าแฟชั่น
67,0,9,24,39,101-500,เสื้อผ้าแฟชั่น
68,0,9,24,35.04,101-500,เสื้อผ้าแฟชั่น
69,0,9,24,38,101-500,เสื้อผ้าแฟชั่น
70,0,9,24,34.22,501-1000,เสื้อผ้าแฟชั่น
71,0,9,24,34.33,501-1000,เสื้อผ้าแฟชั่น
