เพศ,ช่วงอายุ/ช่วงวัย,เทศกาล/โอกาสสำคัญ,ความสัมพันธ์,ราคา,คลาสของขวัญ
0,7,13,38,1-100,แม่และเด็ก
0,7,13,38.02,1-100,แม่และเด็ก
0,7,13,34.32,1-100,แม่และเด็ก
0,7,13,38.03,1-100,แม่และเด็ก
0,7,24,38,101-500,แม่และเด็ก
0,7,24,38.02,101-500,แม่และเด็ก
0,7,24,34.32,101-500,แม่และเด็ก
0,7,24,38.03,101-500,แม่และเด็ก
0,7,25,38,501-1000,แม่และเด็ก
0,7,25,38.02,501-1000,แม่และเด็ก
0,7,25,34.32,501-1000,แม่และเด็ก
0,7,25,38.03,501-1000,แม่และเด็ก
1,7,13,38,1-100,แม่และเด็ก
1,7,13,38.02,1-100,แม่และเด็ก
1,7,13,34.32,1-100,แม่และเด็ก
1,7,13,38.03,1-100,แม่และเด็ก
1,7,24,38,101-500,แม่และเด็ก
1,7,24,38.02,101-500,แม่และเด็ก
1,7,24,34.32,101-500,แม่และเด็ก
1,7,24,38.03,101-500,แม่และเด็ก
1,7,25,38,500-1000,แม่และเด็ก
1,7,25,38.02,500-1000,แม่และเด็ก
1,7,25,34.32,500-1000,แม่และเด็ก
1,7,25,38.03,500-1000,แม่และเด็ก
0,12,13,34.05,1-100,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.06,1-100,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.07,1-100,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.04,1-100,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.05,101-500,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.06,101-500,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.07,101-500,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.04,101-500,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.05,501-1000,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.06,501-1000,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.07,501-1000,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.04,501-1000,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.19,1-100,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.2,1-100,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.21,1-100,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.18,1-100,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.19,101-500,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.2,101-500,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.21,101-500,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.18,101-500,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.19,501-1000,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.2,501-1000,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.21,501-1000,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.18,501-1000,อาหารเสริมเพื่อสุขภาพ
2,12,13,34.05,1-100,อาหารเสริมเพื่อสุขภาพ
2,12,13,34.06,1-100,อาหารเสริมเพื่อสุขภาพ
2,12,13,34.07,1-100,อาหารเสริมเพื่อสุขภาพ
