เพศ,ช่วงอายุ/ช่วงวัย,เทศกาล/โอกาสสำคัญ,ความสัมพันธ์,ราคา,คลาสของขวัญ
0,12,13,34.05,25,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.06,45,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.07,65,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.05,85,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.06,105,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.07,125,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.05,145,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.06,165,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.07,185,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.05,205,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.06,225,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.07,245,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.05,265,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.06,285,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.07,305,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.05,325,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.06,345,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.07,365,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.05,385,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.06,405,อาหารเสริมเพื่อสุขภาพ
0,12,13,34.07,425,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.05,445,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.06,465,อาหารเสริมเพื่อสุขภาพ
0,12,24,34.07,485,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.05,505,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.06,525,อาหารเสริมเพื่อสุขภาพ
0,12,22,34.07,545,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.2,565,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.21,585,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.22,605,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.2,625,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.21,645,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.2,665,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.21,685,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.22,705,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.2,725,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.21,745,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.22,765,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.2,785,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.21,805,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.22,825,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.2,845,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.21,865,อาหารเสริมเพื่อสุขภาพ
1,12,13,34.22,885,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.2,905,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.21,925,อาหารเสริมเพื่อสุขภาพ
1,12,24,34.22,945,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.2,965,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.21,985,อาหารเสริมเพื่อสุขภาพ
1,12,22,34.22,1000,อาหารเสริมเพื่อสุขภาพ
1,7,13,39,100,อาหารเสริมเพื่อความงาม
1,7,13,34.15,120,อาหารเสริมเพื่อความงาม
1,7,13,38.01,140,อาหารเสริมเพื่อความงาม
1,7,24,39,160,อาหารเสริมเพื่อความงาม
1,7,24,34.15,180,อาหารเสริมเพื่อความงาม
1,7,24,38.01,200,อาหารเสริมเพื่อความงาม
1,7,13,39,220,อาหารเสริมเพื่อความงาม
1,7,13,34.15,240,อาหารเสริมเพื่อความงาม
1,7,13,38.01,260,อาหารเสริมเพื่อความงาม
1,7,24,39,280,อาหารเสริมเพื่อความงาม
1,7,24,34.15,300,อาหารเสริมเพื่อความงาม
1,7,24,38.01,320,อาหารเสริมเพื่อความงาม
1,7,13,39,340,อาหารเสริมเพื่อความงาม
1,7,13,34.15,360,อาหารเสริมเพื่อความงาม
1,7,13,38.01,380,อาหารเสริมเพื่อความงาม
1,7,24,39,400,อาหารเสริมเพื่อความงาม
1,7,24,34.15,420,อาหารเสริมเพื่อความงาม
1,7,24,38.01,440,อาหารเสริมเพื่อความงาม
1,7,13,39,460,อาหารเสริมเพื่อความงาม
1,7,13,34.15,480,อาหารเสริมเพื่อความงาม
1,7,13,38.01,500,อาหารเสริมเพื่อความงาม
1,7,24,39,520,อาหารเสริมเพื่อความงาม
1,7,24,34.15,540,อาหารเสริมเพื่อความงาม
1,7,24,38.01,560,อาหารเสริมเพื่อความงาม
1,7,13,39,580,อาหารเสริมเพื่อความงาม
1,7,13,34.15,600,อาหารเสริมเพื่อความงาม
1,7,13,38.01,620,อาหารเสริมเพื่อความงาม
1,7,24,39,640,อาหารเสริมเพื่อความงาม
1,7,24,34.15,660,อาหารเสริมเพื่อความงาม
1,7,24,38.01,680,อาหารเสริมเพื่อความงาม
1,7,13,39,700,อาหารเสริมเพื่อความงาม
1,7,13,34.15,720,อาหารเสริมเพื่อความงาม
1,7,13,38.01,740,อาหารเสริมเพื่อความงาม
1,7,24,39,760,อาหารเสริมเพื่อความงาม
1,7,24,34.15,780,อาหารเสริมเพื่อความงาม
1,7,24,38.01,800,อาหารเสริมเพื่อความงาม
1,7,13,39,820,อาหารเสริมเพื่อความงาม
1,7,13,34.15,840,อาหารเสริมเพื่อความงาม
1,7,13,38.01,860,อาหารเสริมเพื่อความงาม
1,7,24,39,880,อาหารเสริมเพื่อความงาม
1,7,24,34.15,900,อาหารเสริมเพื่อความงาม
1,7,24,38.01,920,อาหารเสริมเพื่อความงาม
1,7,13,39,940,อาหารเสริมเพื่อความงาม
1,7,13,34.15,960,อาหารเสริมเพื่อความงาม
1,7,13,38.01,980,อาหารเสริมเพื่อความงาม
1,7,24,39,1000,อาหารเสริมเพื่อความงาม
1,7,24,34.15,1020,อาหารเสริมเพื่อความงาม
1,7,24,38.01,1040,อาหารเสริมเพื่อความงาม
1,7,13,39,1060,อาหารเสริมเพื่อความงาม
1,7,13,34.15,1000,อาหารเสริมเพื่อความงาม
