เพศ,ช่วงอายุ/ช่วงวัย,เทศกาล/โอกาสสำคัญ,ความสัมพันธ์,ราคา,คลาสของขวัญ,,,
0,12,13,34.05,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12,13,34.06,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12,13,34.07,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12,24,34.05,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12,24,34.06,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12,24,34.07,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12,22,34.05,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12,22,34.06,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12,22,34.07,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12.1,13,34.05,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12.1,13,34.06,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12.1,13,34.07,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12.1,24,34.05,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12.1,24,34.06,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12.1,24,34.07,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12.1,22,34.05,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12.1,22,34.06,40,อาหารเสริมเพื่อสุขภาพ,,,
0,12.1,22,34.07,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12,13,34.05,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12,13,34.06,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12,13,34.07,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12,24,34.05,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12,24,34.06,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12,24,34.07,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12,22,34.05,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12,22,34.06,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12,22,34.07,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12.1,13,34.05,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12.1,13,34.06,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12.1,13,34.07,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12.1,24,34.05,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12.1,24,34.06,40,อาหารเสริมเพื่อสุขภาพ,,,
0.1,12.1,24,34.07,40,อาหารเสริมเพื่อสุขภาพ,,,
